,scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,Legatarios,Número de pliego
50,Quercus petraea (Matt.) Liebl.,Or,Pobra de Brollón,,29TPH31,,8-VI-2003,lindes entre fincas,,,J.L. Camaño & I. Gómez,LOU 25427
51,Tolpis barbata (L.) Gaertn.,Or,Pobra de Brollón,,29TPH31,,8-VI-2003,"lindes entre fincas, bajo Quercus petraea",,,J.L. Camaño & I. Gómez,LOU 25428
52,Halimium sp.,Or,Pobra de Brollón,,29TPH31,,8-VI-2003,"lindes entre fincas, bajo Quercus petraea",,,J.L. Camaño & I. Gómez,LOU 25429
53,Sedum forsterianum Sm.,Or,Monforte de Lemos,carretera Monforte a Castro Caldelas,29TPH2596,,8-VI-2003,ladera N sobre el Sil,,,J.L. Camaño & I. Gómez,LOU 25430
54,Anarrhinum bellidifolium (L.) Willd.,Or,Monforte de Lemos,carretera Monforte a Castro Caldelas,29TPH2596,,8-VI-2003,ladera N sobre el Sil,,,J.L. Camaño & I. Gómez,LOU 25431
55,Phyllitis scolopendrium (L.) Newman,Lu,Samos,Teiguin,29TPH3531,510.0,21-VIII-2003,borde del río,,,J.L. Camaño & I. Gómez,LOU 25432
56,Carum verticillatum (L.) W.D.J. Koch,Or,Monforte de Lemos,carretera Monforte - Castro Caldelas,29TPH2500,,8-VI-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25433
57,Tolpis barbata (L.) Gaertn.,Po,Tui,Caldelas de Tui,29TNG3556,,05-VI-2003,arenal próximo al río,,,J.L. Camaño & I. Gömez,LOU 25434
58,Hypericum undulatum Willd.,Po,Vigo,"Zamáns, bajo el embalse",29TNG2467,,24-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25435
59,Duchesnea indica (Jacks.) Focke,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25436
60,Trifolium arvense L.,Or,Parada do Sil,Sacardebois,29TPH2392,,8-VI-2003,próximo a un afluente del Sil,,,J.L. Camaño & I. Gómez,LOU 25437
61,Trifolium arvense L.,Or,Parada do Sil,Lumeares,29TPG2694,,8-VI-2003,"talud de carretera, bajo Castanea sativa y próximo a un curso de agua",,,J.L. Camaño & I. Gómez,LOU 25438
62,Apium nodiflorum (L.) Lag.,Po,Arbo,playa fluvial a orillas del Río Deva,29TNG5863,,13-VII-2003,"bosque de ribera, cerca de la orilla del río, terreno encharcado",,,J.L. Camaño & I. Gómez,LOU 25439
63,Solidago virgaurea L.,Po,Covelo,playa fluvial en Pontemaceira,29TNG5380,,11-VII-2003,orilla del río,,,J.L. Camaño & I. Gómez,LOU 25440
64,Anarrhinum bellidifolium (L.) Willd.,Po,Covelo,,29TNG5075,,11-VII-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25441
65,Pteridium aquilinum (L.) Kuhn,Po,Covelo,,29TNG5075,,11-VII-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25442
66,Hypericum pulchrum L.,Po,Covelo,,29TNG5175,,11-VII-2003,"cuneta de carretera, al lado de una fuente",,,J.L. Camaño & I. Gómez,LOU 25443
