scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,recordedBy,occurrenceID,basisOfRecord
Senecio jacobaea L.,C,Sobrado,Montes do Corno do Boi,29TNH8059,,22-VI-2003,monte bajo,,,J.L. Camaño & I. Gómez,LOU 25414,PreservedSpecimen
Dactylorhiza maculata (L.) Soó,C,Sobrado,Montes do Corno do Boi,29TNH8059,,22-VI-2003,turbera,,,J.L. Camaño & I. Gómez,LOU 25415,PreservedSpecimen
Carum verticillatum (L.) W.D.J. Koch,Lu,Friol,Carrelos,29TNH9065,,22-VI-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25416,PreservedSpecimen
Pteridium aquilinum (L.) Kuhn,Po,Moaña,"Meira, A Fraga",29TNG28,,19-VI-2003,"Bosque de Quercus robur, cercano a riachuelo",,,J.L. Camaño & I. Gómez,LOU 25417,PreservedSpecimen
Prunella vulgaris L.,Po,Arbo,playa fluvial a orillas del Río Deva,29TNG5863,,13-VII-2003,"bosque de ribera, cerca de la orilla del río",,,J.L. Camaño & I. Gómez,LOU 25418,PreservedSpecimen
Euphorbia dulcis L.,Po,Moaña,"Meira, A Fraga",29TNG28,,19-VI-2003,"Bosque de Quercus robur, cercano a riachuelo",,,J.L. Camaño & I. Gómez,LOU 25419,PreservedSpecimen
Achillea millefolium L.,Lu,Friol,Carrelos,29TNH9065,,22-VI-2003,"cuneta de carretera, junto a brezal",,,J.L. Camaño & I. Gómez,LOU 25420,PreservedSpecimen
Fragaria vesca L.,Lu,Samos,Santalla,29TPH4120,,17-V-2003,próximo a riachuelo en monte bajo,,,J.L. Camaño & I. Gómez,LOU 25421,PreservedSpecimen
Linaria triornithophora (L.) Willd.,Lu,Samos,Santalla,29TPH4120,,7-VI-2003,"cuneta de carretera, en monte bajo",,,J.L. Camaño & I. Gómez,LOU 25422,PreservedSpecimen
Hypericum humifusum L.,Lu,Samos,Santalla,29TPH4120,,7-VI-2003,"cuneta de carretera, en monte bajo, próximo a riachuelo",,,J.L. Camaño & I. Gómez,LOU 25423,PreservedSpecimen
Lavandula stoechas L.,Lu,Pobra de Broullón,,29TPH31,,8-VI-2003,"lindes de fincas, bajo Quercus petraea",,,J.L. Camaño & I. Gómez,LOU 25424,PreservedSpecimen
Cruciata laevipes Opiz,Lu,Folgoso do Courel,Moreda,29TPH5421,,8-VI-2003,"ambiente ruderalizado, sobre sustrato calizo",,,J.L. Camaño & I. Gómez,LOU 25425,PreservedSpecimen
Orobanche foetida Poir.,Or,Monforte de Lemos,carretera Monforte - Castro Caldelas,29TPH2500,,8-VI-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25426,PreservedSpecimen
Quercus petraea (Matt.) Liebl.,Or,Pobra de Brollón,,29TPH31,,8-VI-2003,lindes entre fincas,,,J.L. Camaño & I. Gómez,LOU 25427,PreservedSpecimen
Tolpis barbata (L.) Gaertn.,Or,Pobra de Brollón,,29TPH31,,8-VI-2003,"lindes entre fincas, bajo Quercus petraea",,,J.L. Camaño & I. Gómez,LOU 25428,PreservedSpecimen
Halimium sp.,Or,Pobra de Brollón,,29TPH31,,8-VI-2003,"lindes entre fincas, bajo Quercus petraea",,,J.L. Camaño & I. Gómez,LOU 25429,PreservedSpecimen
Sedum forsterianum Sm.,Or,Monforte de Lemos,carretera Monforte a Castro Caldelas,29TPH2596,,8-VI-2003,ladera N sobre el Sil,,,J.L. Camaño & I. Gómez,LOU 25430,PreservedSpecimen
Anarrhinum bellidifolium (L.) Willd.,Or,Monforte de Lemos,carretera Monforte a Castro Caldelas,29TPH2596,,8-VI-2003,ladera N sobre el Sil,,,J.L. Camaño & I. Gómez,LOU 25431,PreservedSpecimen
Phyllitis scolopendrium (L.) Newman,Lu,Samos,Teiguin,29TPH3531,510,21-VIII-2003,borde del río,,,J.L. Camaño & I. Gómez,LOU 25432,PreservedSpecimen
Carum verticillatum (L.) W.D.J. Koch,Or,Monforte de Lemos,carretera Monforte - Castro Caldelas,29TPH2500,,8-VI-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25433,PreservedSpecimen
Tolpis barbata (L.) Gaertn.,Po,Tui,Caldelas de Tui,29TNG3556,,05-VI-2003,arenal próximo al río,,,J.L. Camaño & I. Gömez,LOU 25434,PreservedSpecimen
Hypericum undulatum Willd.,Po,Vigo,"Zamáns, bajo el embalse",29TNG2467,,24-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25435,PreservedSpecimen
Duchesnea indica (Jacks.) Focke,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25436,PreservedSpecimen
Trifolium arvense L.,Or,Parada do Sil,Sacardebois,29TPH2392,,8-VI-2003,próximo a un afluente del Sil,,,J.L. Camaño & I. Gómez,LOU 25437,PreservedSpecimen
Trifolium arvense L.,Or,Parada do Sil,Lumeares,29TPG2694,,8-VI-2003,"talud de carretera, bajo Castanea sativa y próximo a un curso de agua",,,J.L. Camaño & I. Gómez,LOU 25438,PreservedSpecimen
Apium nodiflorum (L.) Lag.,Po,Arbo,playa fluvial a orillas del Río Deva,29TNG5863,,13-VII-2003,"bosque de ribera, cerca de la orilla del río, terreno encharcado",,,J.L. Camaño & I. Gómez,LOU 25439,PreservedSpecimen
Solidago virgaurea L.,Po,Covelo,playa fluvial en Pontemaceira,29TNG5380,,11-VII-2003,orilla del río,,,J.L. Camaño & I. Gómez,LOU 25440,PreservedSpecimen
Anarrhinum bellidifolium (L.) Willd.,Po,Covelo,,29TNG5075,,11-VII-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25441,PreservedSpecimen
Pteridium aquilinum (L.) Kuhn,Po,Covelo,,29TNG5075,,11-VII-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25442,PreservedSpecimen
Hypericum pulchrum L.,Po,Covelo,,29TNG5175,,11-VII-2003,"cuneta de carretera, al lado de una fuente",,,J.L. Camaño & I. Gómez,LOU 25443,PreservedSpecimen
Dryopteris dilatata (Hoffm.) A. Gray,Lu,,Moreda,29TPH5421,,27-I-2003,ladera sombría con Castanea sativa en sustrato calizo,,,J.L. Camaño & I. Gómez,LOU 25444,PreservedSpecimen
Prunella vulgaris L.,Po,Covelo,,29TNG5175,,11-VII-2003,"cuneta de carretera, al lado de una fuente",,,J.L. Camaño & I. Gómez,LOU 25445,PreservedSpecimen
Osmunda regalis L.,Po,Covelo,,29TNG5175,,11-VII-2003,"cuneta de carretera, al lado de una fuente",,,J.L. Camaño & I. Gómez,LOU 25446,PreservedSpecimen
Wahlenbergia hederacea (L.) Rchb.,Po,Covelo,,29TNG5175,,11-VII-2003,"talud en carretera, bajo Quercus robur",,,J.L. Camaño & I. Gómez,LOU 25447,PreservedSpecimen
Osmunda regalis L.,Po,Arbo,playa fluvial en el Río Deva,29TNGNG5843763515,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25448,PreservedSpecimen
Eupatorium cannabinum L.,Po,Arbo,playa fluvial en el Río Deva,29TNGNG5843763515,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25449,PreservedSpecimen
Hypericum androsaemum L.,Po,Arbo,playa fluvial en el Río Deva,29TNGNG5843763515,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25450,PreservedSpecimen
