occurrenceID,dwc_references,identifier,title,author,imagedate,rightsholder,description,description_with_links,license
SANT:SANT:63162-A,http://www.usc.es/herbario?SANT_63162,http://193.144.34.193/imsrv/santimagethumb.php?id=3630,SANT 63162: Filipendula vulgaris Moench,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63162: Filipendula vulgaris Moench [Click reference links for details & high resolution images],SANT 63162: Filipendula vulgaris Moench <a href=http://www.usc.es/herbario?SANT_63162 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63162-A,http://www.usc.es/herbario?SANT_63162,http://193.144.34.193/imsrv/santimagethumb.php?id=3631,SANT 63162: Filipendula vulgaris Moench,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63162: Filipendula vulgaris Moench [Click reference links for details & high resolution images],SANT 63162: Filipendula vulgaris Moench <a href=http://www.usc.es/herbario?SANT_63162 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63162-A,http://www.usc.es/herbario?SANT_63162,http://193.144.34.193/imsrv/santimagethumb.php?id=3632,SANT 63162: Filipendula vulgaris Moench,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63162: Filipendula vulgaris Moench [Click reference links for details & high resolution images],SANT 63162: Filipendula vulgaris Moench <a href=http://www.usc.es/herbario?SANT_63162 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63168-A,http://www.usc.es/herbario?SANT_63168,http://193.144.34.193/imsrv/santimagethumb.php?id=3633,SANT 63168: Reseda luteola L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63168: Reseda luteola L. [Click reference links for details & high resolution images],SANT 63168: Reseda luteola L. <a href=http://www.usc.es/herbario?SANT_63168 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63168-A,http://www.usc.es/herbario?SANT_63168,http://193.144.34.193/imsrv/santimagethumb.php?id=3634,SANT 63168: Reseda luteola L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63168: Reseda luteola L. [Click reference links for details & high resolution images],SANT 63168: Reseda luteola L. <a href=http://www.usc.es/herbario?SANT_63168 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63170-A,http://www.usc.es/herbario?SANT_63170,http://193.144.34.193/imsrv/santimagethumb.php?id=3635,SANT 63170: Thalictrum flavum L. subsp. glaucum (Desf.) Batt.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63170: Thalictrum flavum L. subsp. glaucum (Desf.) Batt. [Click reference links for details & high resolution images],SANT 63170: Thalictrum flavum L. subsp. glaucum (Desf.) Batt. <a href=http://www.usc.es/herbario?SANT_63170 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63170-A,http://www.usc.es/herbario?SANT_63170,http://193.144.34.193/imsrv/santimagethumb.php?id=3636,SANT 63170: Thalictrum flavum L. subsp. glaucum (Desf.) Batt.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63170: Thalictrum flavum L. subsp. glaucum (Desf.) Batt. [Click reference links for details & high resolution images],SANT 63170: Thalictrum flavum L. subsp. glaucum (Desf.) Batt. <a href=http://www.usc.es/herbario?SANT_63170 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63175-A,http://www.usc.es/herbario?SANT_63175,http://193.144.34.193/imsrv/santimagethumb.php?id=3637,SANT 63175: Ranunculus nigrescens Freyn,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63175: Ranunculus nigrescens Freyn [Click reference links for details & high resolution images],SANT 63175: Ranunculus nigrescens Freyn <a href=http://www.usc.es/herbario?SANT_63175 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63175-A,http://www.usc.es/herbario?SANT_63175,http://193.144.34.193/imsrv/santimagethumb.php?id=3638,SANT 63175: Ranunculus nigrescens Freyn,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63175: Ranunculus nigrescens Freyn [Click reference links for details & high resolution images],SANT 63175: Ranunculus nigrescens Freyn <a href=http://www.usc.es/herbario?SANT_63175 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63175-A,http://www.usc.es/herbario?SANT_63175,http://193.144.34.193/imsrv/santimagethumb.php?id=3639,SANT 63175: Ranunculus nigrescens Freyn,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63175: Ranunculus nigrescens Freyn [Click reference links for details & high resolution images],SANT 63175: Ranunculus nigrescens Freyn <a href=http://www.usc.es/herbario?SANT_63175 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
