collectionCode,scientificName,identifiedBy,verbatimIdentification,identificationRemarks,identificationQualifier,identificationReferences,year,month,day,recordedBy,otherCatalogNumbers,countryCode,stateProvince,county,verbatimLocality,verbatimCoordinates,verbatimElevation,habitat,9069,catalogNumber,occurrenceID,basisOfRecord
SANT-Bryo,Bryum caespiticium Hedw.,G. Paz.,,,,,1991,5,3,G. Paz.,61,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Tierra quemada.,,2405-A,SANT:SANT-Bryo:2405-A,HumanObservation
SANT-Bryo,Bryum capillare Hedw.,"G, Paz.",,,,,1991,3,1,"G, Paz.",89,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Roca soledada.,,2405-A,SANT:SANT-Bryo:2405-A,HumanObservation
SANT-Bryo,Bryum capillare Hedw.,"G. Paz,",,,,,1991,6,7,"G. Paz,",124,ES,S,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2406-A,SANT:SANT-Bryo:2406-A,HumanObservation
SANT-Bryo,Hypnum cupressiforme Hedw.,"G. Paz,",,,,,1991,6,7,"G. Paz,",124,ES,S,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2406-A,SANT:SANT-Bryo:2406-A,HumanObservation
SANT-Bryo,Bryum capillare Hedw.,G. Paz.,,,,,1991,5,3,G. Paz.,90,ES,L,,"Mte, Louro. Muros (A Coruña)",,,Grieta de roca.,,2407-A,SANT:SANT-Bryo:2407-A,HumanObservation
SANT-Bryo,Campylopus pilifer Brid.,G. Paz.,Campylopus pilifer Hedw.,,cf.,,1991,4,11,G. Paz.,31,ES,Lu,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2408-A,SANT:SANT-Bryo:2408-A,HumanObservation
SANT-Bryo,Campylopus polytrichoides De Not.,J. Reinoso.,Campylopus polytrichoides Brid.,,cf.,,1991,6,7,G. Paz.,110,ES,Av,,"Mte. Louro, Muros (A Coruña)",,,Rocas próximas al faro,,2409-A,SANT:SANT-Bryo:2409-A,HumanObservation
SANT-Bryo,Polytrichum piliferum Hedw.,J. Reinoso.,,,,,1991,6,7,G. Paz.,110,ES,Hu,,"Mte. Louro, Muros (A Coruña)",,,Rocas próximas al faro,,2410-A,SANT:SANT-Bryo:2410-A,HumanObservation
SANT-Bryo,Pterogonium gracile (Hedw.) Sm.,J. Reinoso.,,,,,1991,6,7,G. Paz.,110,ES,Hu,,"Mte. Louro, Muros (A Coruña)",,,Rocas próximas al faro,,2410-A,SANT:SANT-Bryo:2410-A,HumanObservation
SANT-Bryo,Campylopus polytrichoides De Not.,G. Paz.,,,,,1991,5,3,G. Paz.,64,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Grietas de roca.,,2411-A,SANT:SANT-Bryo:2411-A,HumanObservation
SANT-Bryo,Grimmia retracta Stirt.,G. Paz.,,,,,1991,5,3,G. Paz.,64,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Grietas de roca.,,2411-A,SANT:SANT-Bryo:2411-A,HumanObservation
SANT-Bryo,Dicranella heteromalla (Hedw.) Schimp.,J. Reinoso.,,,,,1991,3,1,G. Paz.,8,ES,Av,,"Mte. Louro, Muros (A Coruña)",,,Sobre talud.,,2412-A,SANT:SANT-Bryo:2412-A,HumanObservation
SANT-Bryo,Entosthodon fascicularis (Hedw.) Müll.Hal.,J. Reinoso.,,,,,1991,3,1,G. Paz.,8,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Sobre talud.,,2413-A,SANT:SANT-Bryo:2413-A,HumanObservation
SANT-Bryo,Schistidium maritimum (Sm. ex R.Scott) Beuch & Schimp.,J. Reinoso.,,,,,1991,3,1,G. Paz.,8,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Sobre talud.,,2414-A,SANT:SANT-Bryo:2414-A,HumanObservation
SANT-Bryo,Bryum alpinum With.,J. Reinoso.,,,,,1991,3,1,G. Paz.,8,ES,O,,"Mte. Louro, Muros (A Coruña)",,,Sobre talud.,,2415-A,SANT:SANT-Bryo:2415-A,HumanObservation
SANT-Bryo,Dicranodontium denudatum (Brid.) E.Britton,J. Reinoso.,Dicranodontium denudatum Brid.,,,,1991,3,1,G. Paz.,,ES,Gu,,"Mte. Louro, Muros (A Coruña)",,,Talud.,,2416-A,SANT:SANT-Bryo:2416-A,HumanObservation
SANT-Bryo,Campylopus pilifer Brid.,G. Paz.,,,,,1991,5,3,G. Paz.,71,ES,Bi,,"Mte. Louro, Muros (A Coruña)",,,Rocas soleadas.,,2417-A,SANT:SANT-Bryo:2417-A,HumanObservation
SANT-Bryo,Grimmia laevigata (Brid.) Brid.,G. Paz.,,,,,1991,5,3,G. Paz.,71,ES,Le,,"Mte. Louro, Muros (A Coruña)",,,Rocas soleadas.,,2418-A,SANT:SANT-Bryo:2418-A,HumanObservation
SANT-Bryo,Frullania dilatata (L.) Dumort.,G. Paz.,Frullania dilatata (L.) Dum.,,,,1991,5,3,G. Paz.,102,ES,O,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2419-A,SANT:SANT-Bryo:2419-A,HumanObservation
SANT-Bryo,Frullania dilatata (L.) Dumort.,G. Paz.,Frullania dilatata (L.) Dum.,,,,1991,6,7,G. Paz.,106,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Sobre rocas.,,2420-A,SANT:SANT-Bryo:2420-A,HumanObservation
SANT-Bryo,Syntrichia laevipila Brid.,G. Paz.,Tortula laevipila var. laevipila,,,,1991,6,7,G. Paz.,106,ES,O,,"Mte. Louro, Muros (A Coruña)",,,Sobre rocas.,,2421-A,SANT:SANT-Bryo:2421-A,HumanObservation
SANT-Bryo,Hypnum cupressiforme Hedw.,G. Paz.,,,,,1991,6,7,G. Paz.,106,ES,O,,"Mte. Louro, Muros (A Coruña)",,,Sobre rocas.,,2421-A,SANT:SANT-Bryo:2421-A,HumanObservation
SANT-Bryo,"Frullania polysticta Gottsche, Lindenb. & Nees",J. Reinoso.,Frullania polysticta,,,,1991,6,7,"G. Paz,",122,ES,Lu,,"Mte. Louro, Muros (A Coruña).-",,,Rocas.,,2422-A,SANT:SANT-Bryo:2422-A,HumanObservation
SANT-Bryo,Hypnum cupressiforme Hedw.,G.Paz,,,,,1991,6,7,"G. Paz,",122,ES,C,,"Mte. Louro, Muros (A Coruña).-",,,Rocas,,2423-A,SANT:SANT-Bryo:2423-A,HumanObservation
SANT-Bryo,Funaria hygrometrica Hedw.,G. Paz.,,,,,1991,6,7,G. Paz.,123,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Suelo.,,2423-A,SANT:SANT-Bryo:2423-A,HumanObservation
SANT-Bryo,Funaria hygrometrica Hedw.,J.Reinoso,,,,,1991,5,3,G. Paz.,75,ES,Le,,"Mte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2424-A,SANT:SANT-Bryo:2424-A,HumanObservation
SANT-Bryo,Bryum alpinum Huds. ex With.,J.Reinoso,Bryum alpinum With.,,,,1991,5,3,G. Paz.,75,ES,Le,,"Mte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2424-A,SANT:SANT-Bryo:2424-A,HumanObservation
SANT-Bryo,Cynodontium sp.,J.Reinoso,,,,,1991,5,3,G. Paz.,75,ES,Hu,,"Mte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2425-A,SANT:SANT-Bryo:2425-A,HumanObservation
SANT-Bryo,Grimmia laevigata (Brid.) Brid.,J. Reinoso.,Grimmia laevigata Brid.,,,,1991,5,3,G. Paz.,67,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Suelo,,2426-A,SANT:SANT-Bryo:2426-A,HumanObservation
SANT-Bryo,Bryum caespiticium Hedw.,J. Reinoso.,,,,,1991,5,3,G. Paz.,67,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Suelo,,2426-A,SANT:SANT-Bryo:2426-A,HumanObservation
SANT-Bryo,Campylopus pilifer Brid.,J. Reinoso.,Campylopus polytrichoides,,,,1991,5,3,G. Paz.,67,ES,Hu,,"Mte. Louro, Muros (A Coruña)",,,Suelo,,2427-A,SANT:SANT-Bryo:2427-A,HumanObservation
SANT-Bryo,Grimmia laevigata (Brid.) Brid.,G. Paz.,Grimmia laevigata Brid.,,,,1991,5,3,G. Paz.,68,ES,Lo,,"Mte. Louro, Muros (A Coruña)",,,Roca soleada.,,2428-A,SANT:SANT-Bryo:2428-A,HumanObservation
SANT-Bryo,Grimmia laevigata (Brid.) Brid.,G. Paz.,Grimmia laevigata Brid.,,,,1991,5,3,G. Paz.,43,ES,Lo,,"Mte. Louro, Muros (A Coruña)",,,Piedra soleada,,2428-A,SANT:SANT-Bryo:2428-A,HumanObservation
SANT-Bryo,Grimmia laevigata (Brid.) Brid.,G. Paz.,Grimmia laevigata Brid.,,,,1991,5,3,G. Paz.,94,ES,Le,,Mte. Louro (Muros),,,Rocas.,,2429-A,SANT:SANT-Bryo:2429-A,HumanObservation
SANT-Bryo,Grimmia laevigata (Brid.) Brid.,G. Paz.,Grimmia laevigata Brid.,,,,1991,5,3,G. Paz.,85,ES,Le,,Mte. Louro (A Coruña),,,Grieta de roca.,,2429-A,SANT:SANT-Bryo:2429-A,HumanObservation
SANT-Bryo,Grimmia retracta Stirt.,J. Reinoso.,G.retracta,,,,1991,5,3,G. Paz.,87,ES,Lu,,"Monte Louro, Muros (A Coruña)",,,Pared de una roca.,,2430-A,SANT:SANT-Bryo:2430-A,HumanObservation
SANT-Bryo,Frullania dilatata (L.) Dumort.,J. Reinoso.,Frullania dilatata,,,,1991,5,3,G. Paz.,87,ES,So,,"Monte Louro, Muros (A Coruña)",,,Pared de una roca.,,2431-A,SANT:SANT-Bryo:2431-A,HumanObservation
SANT-Bryo,Grimmia retracta Stirt.,J. Reinoso.,Grimmia retracta,,,,1991,4,11,G.Paz.,44,ES,Hu,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2432-A,SANT:SANT-Bryo:2432-A,HumanObservation
SANT-Bryo,Grimmia retracta Stirt.,J.Reinoso,Grimmia rtetracta Stirt.,,,,1991,3,1,G. Paz.,93,ES,Bi,,"Mte. Louro, A Coruña",,,Roca soleada.,,2433-A,SANT:SANT-Bryo:2433-A,HumanObservation
SANT-Bryo,Grimmia retracta Stirt.,J.Reinoso,Grimmia retracta,,,,1991,6,7,G. Paz.,121,ES,Av,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2434-A,SANT:SANT-Bryo:2434-A,HumanObservation
SANT-Bryo,Grimmia retracta Stirt.,J.Reinoso,Grimmia retracta,,,,1991,6,7,G. Paz.,107,ES,Av,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2434-A,SANT:SANT-Bryo:2434-A,HumanObservation
SANT-Bryo,Grimmia trichophylla Grev.,J. Reinoso.,Grimmia tyrichophylla ,,,,1991,3,1,"G, Paz.",5,ES,Na,,"Mte. Louro, Muros (A Coruña).",,,Roca,,2435-A,SANT:SANT-Bryo:2435-A,HumanObservation
SANT-Bryo,Homalothecium lutescens (Hedw.) H.Rob.,G. Paz.,Homalothecium lutescens Hedw.,,,,1991,6,7,G. Paz.,112,ES,nan,,"Mte. Louro, Muros (A Coruña)",,,Sobre roca.,,2435-A,SANT:SANT-Bryo:2435-A,HumanObservation
SANT-Bryo,Tortella flavovirens (Bruch) Broth.,G. Paz.,,,,,1991,6,7,G. Paz.,112,ES,Hu,,"Mte. Louro, Muros (A Coruña)",,,Sobre roca.,,2436-A,SANT:SANT-Bryo:2436-A,HumanObservation
SANT-Bryo,Hedwigia ciliata (Hedw.) P.Beauv.,G. Paz.,Hedwigia ciliata (Hedw.) P. Beauv.,,cf.,,1991,4,11,G. Paz.,36,ES,Hu,,"Mte. Louro, Muros (A Coruña)",,,Roca soleada.,,2436-A,SANT:SANT-Bryo:2436-A,HumanObservation
SANT-Bryo,Racomitrium heterostichum (Hedw.) Brid.,G. Paz.,Hedwigia ciliata (Hedw.) P. Beauv.,,,,1991,4,11,G. Paz.,36,ES,S,,"Mte. Louro, Muros (A Coruña)",,,Roca soleada.,,2437-A,SANT:SANT-Bryo:2437-A,HumanObservation
SANT-Bryo,Hedwigia ciliata (Hedw.) P.Beauv.,J.Reinoso,Hedwigia ciliata (Hedw.) P. Beauv.,,cf.,,1991,5,3,G. Paz.,69,ES,Lu,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2438-A,SANT:SANT-Bryo:2438-A,HumanObservation
SANT-Bryo,Racomitrium heterostichum (Hedw.) Brid.,J.Reinoso,,,,,1991,5,3,G. Paz.,69,ES,Gr,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2439-A,SANT:SANT-Bryo:2439-A,HumanObservation
SANT-Bryo,Hypnum cupressiforme Hedw.,J.Reinoso,,,,,1991,5,3,G. Paz.,69,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2440-A,SANT:SANT-Bryo:2440-A,HumanObservation
SANT-Bryo,Campylopus pilifer Brid.,J.Reinoso,,,,,1991,5,3,G. Paz.,69,ES,nan,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2440-A,SANT:SANT-Bryo:2440-A,HumanObservation
SANT-Bryo,Bryum sp.,J.Reinoso,,,,,1991,5,3,G. Paz.,69,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2441-A,SANT:SANT-Bryo:2441-A,HumanObservation
SANT-Bryo,Hypnum cupressiforme Hedw.,G. Paz.,,,,,1991,5,3,G. Paz.,95,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Muro de contención.,,2441-A,SANT:SANT-Bryo:2441-A,HumanObservation
SANT-Bryo,Hypnum cupressiforme Hedw.,G. Paz.,,,,,1991,5,3,G. Paz.,98,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Rocas soleadas.,,2442-A,SANT:SANT-Bryo:2442-A,HumanObservation
SANT-Bryo,Grimmia retracta Stirt.,G. Paz.,,,,,1991,5,3,G. Paz.,98,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Rocas soleadas.,,2442-A,SANT:SANT-Bryo:2442-A,HumanObservation
SANT-Bryo,Isopterygium elegans (Brid.) Lindb.,J. Reinoso.,,,,,1991,4,11,G. Paz.,32,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2443-A,SANT:SANT-Bryo:2443-A,HumanObservation
SANT-Bryo,Pleuridium acuminatum Lindb.,J. Reinoso.,,,,,1991,4,11,G. Paz.,32,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2443-A,SANT:SANT-Bryo:2443-A,HumanObservation
SANT-Bryo,Campylopus pilifer Brid.,J. Reinoso.,,,,,1991,4,11,G. Paz.,32,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2444-A,SANT:SANT-Bryo:2444-A,HumanObservation
SANT-Bryo,Isopterygium elegans (Brid.) Lindb.,G. Paz.,,,,,1991,4,11,G. Paz.,39,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2444-A,SANT:SANT-Bryo:2444-A,HumanObservation
SANT-Bryo,Pleuridium acuminatum Lindb.,G. Paz.,,,,,1991,4,11,G. Paz.,39,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2445-A,SANT:SANT-Bryo:2445-A,HumanObservation
SANT-Bryo,Isopterygium elegans (Brid.) Lindb.,G. Paz.,,,,,1991,5,3,G. Paz.,96,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2445-A,SANT:SANT-Bryo:2445-A,HumanObservation
SANT-Bryo,Isothecium myosuroides Brid.,G. Paz.,,,,,1991,3,1,G. Paz.,22,ES,Sa,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2446-A,SANT:SANT-Bryo:2446-A,HumanObservation
SANT-Bryo,Pleuridium acuminatum Lindb.,J. Reinoso.,,,,,1991,5,3,G. Paz.,59,ES,Sa,,"Mnte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2446-A,SANT:SANT-Bryo:2446-A,HumanObservation
SANT-Bryo,Bryum alpinum Huds. ex With.,Juan Reinoso,,,,,1991,5,3,G. Paz,59,ES,C,,"Mnte. Louro, Muros (A Coruña)",,,Sobre tierra,,2447-A,SANT:SANT-Bryo:2447-A,HumanObservation
SANT-Bryo,Pleuridium acuminatum Lindb.,Juan Reinoso,,,,,1991,4,11,G. Paz,58,ES,Lu,,"Monte Louro, Muros (A Coruña)",,,Sobre tierra,,2448-A,SANT:SANT-Bryo:2448-A,HumanObservation
SANT-Bryo,Bryum alpinum Huds. ex With.,Juan Reinoso,,,,,1991,4,11,G. Paz,58,ES,Na,,"Monte Louro, Muros (A Coruña)",,,Sobre tierra,,2449-A,SANT:SANT-Bryo:2449-A,HumanObservation
SANT-Bryo,Polytrichum juniperinum Hedw.,Juan Reinoso,,,,,1991,5,3,G. Paz.,77,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Sobre suelo. En grieta roca.,,2450-A,SANT:SANT-Bryo:2450-A,HumanObservation
SANT-Bryo,Polytrichum juniperinum Hedw.,J. Reinoso.,,,,,1991,5,3,G. Paz.,73,ES,Av,,"Mte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2451-A,SANT:SANT-Bryo:2451-A,HumanObservation
SANT-Bryo,Polytrichum piliferum Hedw.,J. Reinoso.,,,,,1991,5,3,G. Paz.,73,ES,Gr,,"Mte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2452-A,SANT:SANT-Bryo:2452-A,HumanObservation
SANT-Bryo,Polytrichum juniperinum Hedw.,J. Reinoso.,,,,,1991,3,1,G. Paz.,23,ES,AN -,,"Mte. Louro, Muros (A Coruña)",,,Sobre tierra.,,2453-A,SANT:SANT-Bryo:2453-A,HumanObservation
SANT-Bryo,Polytrichum piliferum Hedw.,G. Paz.,,,,,1991,6,7,G. Paz.,,ES,L,,"Mte. Louro, Muros (A Coruña)",,,Sobre rocas.,,2454-A,SANT:SANT-Bryo:2454-A,HumanObservation
SANT-Bryo,Polytrichum piliferum Hedw.,J.Reinoso,,,,,1991,5,3,G. Paz.,62,ES,Lo,,"Mte. Louro, Muros (A Coruña)",,,Sobre rocas.,,2455-A,SANT:SANT-Bryo:2455-A,HumanObservation
SANT-Bryo,Polytrichum juniperinum Hedw.,J.Reinoso,,,,,1991,5,3,G. Paz.,62,ES,Lo,,"Mte. Louro, Muros (A Coruña)",,,Sobre rocas.,,2455-A,SANT:SANT-Bryo:2455-A,HumanObservation
SANT-Bryo,Pottia commutata Limpr.,J. Reinoso.,,,,,1991,6,7,G. Paz.,108,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2456-A,SANT:SANT-Bryo:2456-A,HumanObservation
SANT-Bryo,Pterogonium gracile (Hedw.) Sm.,G. Paz.,,,,,1991,6,7,G. Paz.,,ES,C,,Mte. Louro (A Coruña),,,Rocas.,,2456-B,SANT:SANT-Bryo:2456-B,HumanObservation
SANT-Bryo,Pterogonium gracile (Hedw.) Sm.,G. Paz.,,,,,1991,4,11,G. Paz.,33,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Sobre roca.,,2456-C,SANT:SANT-Bryo:2456-C,HumanObservation
SANT-Bryo,Racomitrium heterostichum (Hedw.) Brid.,G. Paz.,,,,,1991,4,11,G. Paz.,33,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Sobre roca.,,2457-A,SANT:SANT-Bryo:2457-A,HumanObservation
SANT-Bryo,Bryum sp.,G. Paz.,,,,,1991,4,11,G. Paz.,33,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Sobre roca.,,2458-A,SANT:SANT-Bryo:2458-A,HumanObservation
SANT-Bryo,Pterogonium gracile (Hedw.) Sm.,G. Paz.,,,,,1991,6,7,G. Paz.,128,ES,C,,Mte Louro. (A Coruña),,,Sobre rocas.,,2458-B,SANT:SANT-Bryo:2458-B,HumanObservation
SANT-Bryo,Grimmia retracta Stirt.,G. Paz.,,,,,1991,6,7,G. Paz.,129,ES,C,,Mte Louro. (A Coruña),,,Sobre rocas.,,2459-A,SANT:SANT-Bryo:2459-A,HumanObservation
SANT-Bryo,Racomitrium canescens (Hedw.) Brid.,J. Reinoso.,,,,,1991,6,7,G. Paz.,116,ES,C,,"Mte Louro, Muros (A Coruña)",,,Rocas.,,2459-B,SANT:SANT-Bryo:2459-B,HumanObservation
SANT-Bryo,Polytrichum piliferum Hedw.,J.Reinoso,,,,,1991,6,7,G.Paz,116,ES,L,,"Mte Louro, Muros (A Coruña)",,,Rocas.,,2460-A,SANT:SANT-Bryo:2460-A,HumanObservation
SANT-Bryo,Campylopus polytrichoides De Not.,J.Reinoso,,,,,1991,6,7,G.Paz,116,ES,L,,"Mte Louro, Muros (A Coruña)",,,Rocas.,,2460-A,SANT:SANT-Bryo:2460-A,HumanObservation
SANT-Bryo,Hypnum cupressiforme Hedw.,J.Reinoso,,,,,1991,6,7,G.Paz,116,ES,C,,"Mte Louro, Muros (A Coruña)",,,Rocas.,,2461-A,SANT:SANT-Bryo:2461-A,HumanObservation
SANT-Bryo,Bryum capillare Hedw.,J.Reinoso,,,,,1991,6,7,G.Paz,116,ES,C,,"Mte Louro, Muros (A Coruña)",,,Rocas.,,2461-B,SANT:SANT-Bryo:2461-B,HumanObservation
SANT-Bryo,Racomitrium heterostichum (Hedw.) Brid.,"G. Paz,",,,,,1991,5,3,"G. Paz,",97,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Rocas.,,2462-A,SANT:SANT-Bryo:2462-A,HumanObservation
SANT-Bryo,Racomitrium heterostichum (Hedw.) Brid.,G. Paz.,,,,,1991,4,11,G. Paz.,38,ES,C,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2462-B,SANT:SANT-Bryo:2462-B,HumanObservation
SANT-Bryo,Hedwigia ciliata (Hedw.) P.Beauv.,G. Paz.,,,,,1991,4,11,G. Paz.,38,ES,Av,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2463-A,SANT:SANT-Bryo:2463-A,HumanObservation
SANT-Bryo,Campylopus pilifer Brid.,G. Paz.,,,,,1991,4,11,G. Paz.,38,ES,L,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2464-A,SANT:SANT-Bryo:2464-A,HumanObservation
SANT-Bryo,Bryum sp.,G. Paz.,,,,,1991,4,11,G. Paz.,38,ES,Na,,"Mte. Louro, Muros (A Coruña)",,,Grieta de roca.,,2465-A,SANT:SANT-Bryo:2465-A,HumanObservation
SANT-Bryo,Racomitrium heterostichum (Hedw.) Brid.,"G. Paz,",,,,,1991,5,3,"G. Paz,",70,ES,Gr,,Mte. Louro (A Coruña),,,Rocas.,,2466-A,SANT:SANT-Bryo:2466-A,HumanObservation
SANT-Bryo,Hedwigia ciliata (Hedw.) P.Beauv.,"G. Paz,",,,,,1991,5,3,"G. Paz,",70,ES,B,,Mte. Louro (A Coruña),,,Rocas.,,2467-A,SANT:SANT-Bryo:2467-A,HumanObservation
SANT-Bryo,Bryum sp.,"G. Paz,",,,,,1991,5,3,"G. Paz,",70,ES,Mu,,Mte. Louro (A Coruña),,,Rocas.,,2468-A,SANT:SANT-Bryo:2468-A,HumanObservation
SANT-Bryo,Hypnum cupressiforme Hedw.,"G. Paz,",,,,,1991,5,3,"G. Paz,",70,ES,V,,Mte. Louro (A Coruña),,,Rocas.,,2469-A,SANT:SANT-Bryo:2469-A,HumanObservation
SANT-Bryo,Radula complanata (L.) Dumort.,G. Paz.,Radula complanata (L.) Dum.,,,,1991,6,7,G. Paz.,104,ES,Al,,"Mte. Louro, Muros (A Coruña)",,,Grietas de roca.,,2470-A,SANT:SANT-Bryo:2470-A,HumanObservation
SANT-Bryo,Frullania dilatata (L.) Dumort.,G.Paz,Frullania dilatata,,,Casas hepat.(2009),1991,6,7,G.Paz,104,ES,Vi,,"Mte. Louro, Muros (A Coruña)",,,Grietas de roca.,,2471-A,SANT:SANT-Bryo:2471-A,HumanObservation
SANT-Bryo,Zygodon rupestris Schimp. ex Lorentz,G.Paz,,,,,1991,6,7,G.Paz,104,ES,Mu,,"Mte. Louro, Muros (A Coruña)",,,Grietas de roca.,,2472-A,SANT:SANT-Bryo:2472-A,HumanObservation
SANT-Bryo,Syntrichia laevipila Brid.,,Tortula laevipila var. laevipila,,,F.B.I. Vol III (2006),1991,6,7,G.Paz,104,ES,Vi,,"Mte. Louro, Muros (A Coruña)",,,Grietas de roca.,,2473-A,SANT:SANT-Bryo:2473-A,HumanObservation
SANT-Bryo,Tortella flavovirens (Bruch) Broth.,G. Paz.,Tortella flavovirens (Bruch.) Broth.,,,,1991,6,7,G. Paz.,134,ES,Al,,Mte. Louro (A Coruña),,,Sobre tierra.,,2474-A,SANT:SANT-Bryo:2474-A,HumanObservation
SANT-Bryo,Tortella flavovirens (Bruch) Broth.,G.Paz.,Tortella flavovirens (Bruch.) Broth.,,,,1991,6,7,G.Paz.,109,ES,M,,"Mte. Louro, Muros (A Coruña)",,,Sobre rocas.,,2475-A,SANT:SANT-Bryo:2475-A,HumanObservation
SANT-Bryo,Tortella flavovirens (Bruch) Broth.,G. Paz.,Tortella flavovirens (Bruch.)Broth.,,,,1991,6,7,G. Paz.,119,ES,M,,"Monte Louro, Muros (A Coruña)",,,Sobre rocas.,,2476-A,SANT:SANT-Bryo:2476-A,HumanObservation
SANT-Bryo,Tortula muralis Hedw.,G. Paz.,Tortula muralis var.muralis,,,,,,,,119,,V,,,,,,,2477-A,SANT:SANT-Bryo:2477-A,HumanObservation
SANT-Bryo,Tortula laevipila (Brid.) Schwägr. var. meridionalis (Schimp.) Wijk & Margad.,J. Reinoso.,Tortula laevipila Brid. var. meridionalis Sch.,,,,1991,6,7,G.Paz.,,ES,V,,"Monte Louro, Muros (A Coruña)",,,Rocas.,,2477-A,SANT:SANT-Bryo:2477-A,HumanObservation
SANT-Bryo,Tortula laevipila (Brid.) Schwägr.,G. Paz.,Tortla laevipila (Brid.) Sch.,,,,1991,6,7,G. Paz.,115,ES,Mu,,Monte Louro (A Coruña),,,Grieta de roca.,,2478-A,SANT:SANT-Bryo:2478-A,HumanObservation
SANT-Bryo,Tortula laevipila (Brid.) Schwägr.,"G, Paz.",Tortula laevipila (Brid.) Sch.,,,,1991,6,7,"G, Paz.",125,ES,Mu,,Monte Louro (A Coruña),,,Grietas de roca.,,2478-A,SANT:SANT-Bryo:2478-A,HumanObservation
SANT-Bryo,Bryum argenteum Hedw.,"G, Paz.",,,,,1991,6,7,"G, Paz.",125,ES,Gr,,Monte Louro (A Coruña),,,Grietas de roca.,,2479-A,SANT:SANT-Bryo:2479-A,HumanObservation
SANT-Bryo,Tortula muralis Hedw.,G.Paz.,,,,,1991,6,7,G.Paz.,,ES,Gr,,Monte Louro (A Coruña),,,Pared de roca.,,2479-A,SANT:SANT-Bryo:2479-A,HumanObservation
SANT-Bryo,Tortula vahliana (Schultz) Mont.,J.Reinoso.,Tortula vahliana K.F. Schultz.,,,,1991,6,7,G. Paz.,126,ES,Ab,,Monte Louro (A Coruña),,,Grieta de roca.,,2480-A,SANT:SANT-Bryo:2480-A,HumanObservation
SANT-Bryo,Pterogonium gracile (Hedw.) Sm.,J.Reinoso.,,,,,1991,6,7,G. Paz.,126,ES,Gr,,Monte Louro (A Coruña),,,Grieta de roca.,,2481-A,SANT:SANT-Bryo:2481-A,HumanObservation
SANT-Bryo,Hypnum cupressiforme Hedw.,J.Reinoso.,,,,,1991,6,7,G. Paz.,126,ES,Ma,,Monte Louro (A Coruña),,,Grieta de roca.,,2482-A,SANT:SANT-Bryo:2482-A,HumanObservation
